@relation planetazyx

@attribute animal {wurro,wacka,hobexa}
@attribute patas {cuatro,cinco,seis}
@attribute anomalia {true,false}
@attribute cojea {si,no}
@attribute piel {suave,escamosa}
@attribute color {azulado,rojizo}

@data

wurro,seis,false,no,suave,rojizo
wurro,seis,false,no,suave,rojizo
wurro,seis,false,no,suave,rojizo
wacka,cinco,false,si,suave,azulado
wacka,cuatro,false,no,escamosa,azulado
wurro,cinco,true,si,suave,rojizo
hobexa,seis,false,no,escamosa,rojizo
hobexa,seis,true,si,escamosa,azulado
wacka,cuatro,false,no,suave,azulado
wurro,cinco,false,si,suave,rojizo
wurro,cinco,true,si,suave,rojizo
wacka,cinco,false,si,suave,azulado
hobexa,cuatro,true,si,escamosa,azulado
hobexa,seis,false,no,escamosa,azulado
wacka,cuatro,false,no,escamosa,azulado
wacka,cinco,true,si,suave,azulado
wurro,seis,false,no,suave,rojizo
hobexa,cinco,true,si,escamosa,azulado
wurro,seis,true,si,suave,rojizo
wurro,seis,false,no,suave,rojizo
wacka,cuatro,false,no,suave,rojizo
wurro,cinco,true,si,suave,rojizo
hobexa,seis,false,no,escamosa,rojizo
hobexa,seis,false,no,escamosa,azulado
hobexa,cuatro,true,si,escamosa,rojizo
wacka,cuatro,false,no,escamosa,azulado
wacka,cuatro,false,no,suave,azulado
hobexa,seis,false,no,escamosa,azulado
wurro,cinco,true,si,suave,rojizo
wacka,cinco,false,si,escamosa,azulado
hobexa,seis,false,no,escamosa,rojizo
hobexa,cinco,false,si,escamosa,azulado
wurro,seis,false,no,suave,rojizo
wacka,cinco,true,si,suave,azulado
wacka,cinco,false,si,suave,azulado
wacka,cuatro,true,si,escamosa,azulado
wurro,cinco,true,si,suave,rojizo
wurro,cinco,false,si,suave,rojizo
wurro,cinco,true,si,suave,rojizo
wacka,cuatro,false,no,escamosa,azulado
hobexa,seis,false,no,escamosa,rojizo
hobexa,seis,false,no,escamosa,rojizo
wacka,cinco,false,si,suave,azulado
wacka,cuatro,false,no,suave,rojizo
hobexa,seis,false,no,escamosa,rojizo
hobexa,cuatro,false,no,escamosa,rojizo
wurro,seis,false,no,suave,rojizo
wacka,cuatro,true,si,escamosa,rojizo
wurro,cinco,false,si,suave,rojizo
wacka,cinco,true,si,suave,azulado
wurro,cinco,true,si,suave,rojizo
hobexa,seis,false,no,escamosa,azulado
wurro,cinco,true,si,suave,rojizo
wacka,cuatro,false,no,escamosa,azulado
wurro,cinco,true,si,suave,rojizo
hobexa,seis,true,si,escamosa,azulado
wacka,cinco,false,si,escamosa,azulado
wacka,cuatro,false,no,escamosa,azulado
wurro,seis,false,no,suave,rojizo
wacka,cuatro,false,no,escamosa,azulado
wacka,cinco,false,si,escamosa,rojizo
wurro,seis,false,no,suave,rojizo
hobexa,seis,false,no,escamosa,rojizo
hobexa,seis,true,si,escamosa,azulado
wurro,seis,false,no,suave,rojizo
hobexa,cuatro,false,no,escamosa,rojizo
hobexa,cuatro,false,no,escamosa,azulado
wurro,cinco,false,si,suave,rojizo
wacka,cinco,true,si,suave,azulado
wacka,cuatro,false,no,suave,azulado
wurro,cinco,true,si,suave,rojizo
hobexa,seis,false,no,escamosa,rojizo
wacka,cuatro,false,no,suave,azulado
hobexa,seis,false,no,escamosa,azulado
hobexa,cinco,false,si,escamosa,azulado
wacka,cuatro,false,no,suave,azulado
hobexa,cuatro,false,no,escamosa,azulado
wacka,cuatro,false,no,suave,azulado
hobexa,seis,false,no,escamosa,rojizo
wacka,cuatro,false,no,escamosa,azulado
hobexa,cuatro,false,no,escamosa,rojizo
hobexa,cuatro,false,no,escamosa,azulado
wacka,cinco,false,si,escamosa,azulado
wacka,cuatro,false,no,suave,azulado
hobexa,cinco,false,si,escamosa,rojizo
hobexa,seis,false,no,escamosa,azulado
hobexa,cinco,false,si,escamosa,azulado
wurro,cinco,true,si,suave,rojizo
hobexa,cinco,true,si,escamosa,azulado
wurro,cinco,false,si,suave,rojizo
wacka,cinco,true,si,suave,azulado
wurro,seis,true,si,suave,rojizo
hobexa,cuatro,false,no,escamosa,azulado
wurro,cinco,true,si,suave,rojizo
hobexa,cinco,true,si,escamosa,rojizo
hobexa,cinco,true,si,escamosa,azulado
wurro,cinco,false,si,suave,rojizo
hobexa,cinco,false,si,escamosa,rojizo
wurro,cinco,true,si,suave,rojizo
hobexa,cuatro,false,no,escamosa,rojizo
wurro,cinco,true,si,suave,rojizo
wacka,cuatro,false,no,escamosa,azulado
hobexa,cuatro,false,no,escamosa,rojizo
hobexa,seis,false,no,escamosa,azulado
wurro,seis,false,no,suave,rojizo
hobexa,seis,false,no,escamosa,rojizo
wurro,seis,false,no,suave,rojizo
wacka,cuatro,false,no,escamosa,rojizo
wacka,cinco,true,si,suave,azulado
wacka,cuatro,false,no,suave,azulado
wurro,cinco,false,si,suave,rojizo
wurro,cinco,false,si,suave,rojizo
wurro,cinco,true,si,suave,rojizo
wacka,cinco,true,si,escamosa,azulado
wacka,cinco,false,si,escamosa,azulado
hobexa,cinco,false,si,escamosa,azulado
wurro,seis,false,no,suave,rojizo
wurro,seis,true,si,suave,rojizo
wurro,cinco,false,si,suave,rojizo
wurro,seis,true,si,suave,rojizo
wurro,seis,false,no,suave,rojizo
wurro,seis,false,no,suave,rojizo
wacka,cuatro,false,no,escamosa,azulado
wacka,cuatro,false,no,suave,rojizo
hobexa,cuatro,false,no,escamosa,azulado
hobexa,seis,false,no,escamosa,azulado
hobexa,cinco,false,si,escamosa,azulado
wurro,cinco,true,si,suave,rojizo
wurro,cinco,false,si,suave,rojizo
hobexa,cuatro,false,no,escamosa,rojizo
hobexa,cuatro,false,no,escamosa,azulado
wurro,cinco,true,si,suave,rojizo
hobexa,cuatro,false,no,escamosa,rojizo
hobexa,cinco,true,si,escamosa,rojizo
wacka,cuatro,false,no,suave,azulado
hobexa,cuatro,false,no,escamosa,rojizo
hobexa,seis,false,no,escamosa,azulado
hobexa,cuatro,false,no,escamosa,azulado
wacka,cuatro,false,no,suave,azulado
wurro,cinco,false,si,suave,rojizo
wacka,cuatro,true,si,suave,azulado
wacka,cuatro,false,no,suave,azulado
wurro,seis,true,si,suave,rojizo
hobexa,seis,false,no,escamosa,azulado
wacka,cuatro,false,no,suave,azulado
wacka,cinco,false,si,suave,rojizo
wurro,seis,true,si,suave,rojizo
hobexa,cinco,false,si,escamosa,rojizo
hobexa,seis,false,no,escamosa,rojizo
wurro,seis,false,no,suave,rojizo
wurro,seis,true,si,suave,rojizo
wurro,seis,false,no,suave,rojizo
hobexa,cuatro,false,no,escamosa,azulado
wurro,cinco,true,si,suave,rojizo
wurro,cinco,true,si,suave,rojizo
hobexa,seis,false,no,escamosa,azulado
wacka,cinco,false,si,escamosa,azulado
hobexa,cuatro,false,no,escamosa,rojizo
hobexa,seis,false,no,escamosa,azulado
wacka,cuatro,false,no,suave,azulado
wacka,cinco,false,si,escamosa,azulado
wurro,seis,true,si,suave,rojizo
wurro,seis,false,no,suave,rojizo
wacka,cuatro,false,no,suave,azulado
wacka,cuatro,false,no,escamosa,rojizo
wacka,cuatro,false,no,suave,azulado
wacka,cinco,false,si,suave,azulado
wurro,cinco,true,si,suave,rojizo
hobexa,cinco,false,si,escamosa,rojizo
wurro,seis,false,no,suave,rojizo
wacka,cuatro,false,no,escamosa,azulado
wurro,cinco,false,si,suave,rojizo
wurro,seis,false,no,suave,rojizo
wacka,cuatro,false,no,suave,azulado
hobexa,cinco,false,si,escamosa,rojizo
hobexa,cinco,true,si,escamosa,rojizo
wacka,cinco,true,si,escamosa,azulado
wacka,cinco,true,si,escamosa,rojizo
wacka,cuatro,false,no,suave,azulado
wurro,cinco,false,si,suave,rojizo
hobexa,cinco,true,si,escamosa,rojizo
hobexa,seis,true,si,escamosa,rojizo
hobexa,cinco,true,si,escamosa,azulado
hobexa,seis,true,si,escamosa,rojizo
wacka,cinco,false,si,suave,azulado
hobexa,cuatro,false,no,escamosa,rojizo
hobexa,cuatro,false,no,escamosa,azulado
wurro,cinco,false,si,suave,rojizo
wurro,seis,false,no,suave,rojizo
wacka,cuatro,false,no,suave,azulado
wacka,cuatro,false,no,suave,azulado
hobexa,seis,true,si,escamosa,rojizo
wacka,cinco,false,si,suave,azulado
wacka,cinco,true,si,escamosa,azulado
hobexa,cinco,false,si,escamosa,azulado
wacka,cinco,true,si,escamosa,azulado
wurro,cinco,true,si,suave,rojizo
wacka,cinco,false,si,escamosa,azulado
wurro,cinco,false,si,suave,rojizo
hobexa,seis,false,no,escamosa,azulado
hobexa,seis,true,si,escamosa,azulado
hobexa,cuatro,false,no,escamosa,rojizo
wacka,cinco,false,si,escamosa,azulado
wurro,seis,false,no,suave,rojizo
hobexa,cinco,true,si,escamosa,rojizo
wurro,cinco,false,si,suave,rojizo
hobexa,seis,true,si,escamosa,azulado
wacka,cuatro,false,no,suave,azulado
wacka,cuatro,false,no,suave,azulado
wacka,cinco,false,si,escamosa,azulado
wacka,cinco,true,si,suave,azulado
hobexa,cuatro,false,no,escamosa,azulado
wurro,cinco,false,si,suave,rojizo
hobexa,cuatro,false,no,escamosa,rojizo
hobexa,cuatro,false,no,escamosa,rojizo
hobexa,seis,false,no,escamosa,rojizo
hobexa,seis,false,no,escamosa,azulado
wacka,cinco,false,si,suave,azulado
wurro,seis,true,si,suave,rojizo
wurro,seis,false,no,suave,rojizo
hobexa,cuatro,true,si,escamosa,azulado
wacka,cuatro,true,si,escamosa,rojizo
wacka,cinco,true,si,escamosa,azulado
wacka,cuatro,false,no,suave,azulado
wurro,cinco,false,si,suave,rojizo
hobexa,seis,false,no,escamosa,rojizo
wacka,cinco,true,si,escamosa,azulado
wurro,cinco,true,si,suave,rojizo
hobexa,seis,false,no,escamosa,azulado
wurro,cinco,false,si,suave,rojizo
hobexa,seis,false,no,escamosa,azulado
wurro,seis,false,no,suave,rojizo
wurro,cinco,true,si,suave,rojizo
wurro,seis,false,no,suave,rojizo
hobexa,cuatro,false,no,escamosa,rojizo
wacka,cinco,false,si,suave,azulado
hobexa,seis,false,no,escamosa,rojizo
wacka,cinco,false,si,escamosa,azulado
hobexa,cuatro,false,no,escamosa,azulado
wurro,seis,false,no,suave,rojizo
hobexa,seis,true,si,escamosa,rojizo
wurro,cinco,true,si,suave,rojizo
wurro,seis,false,no,suave,rojizo
wacka,cuatro,false,no,escamosa,rojizo
wacka,cinco,true,si,escamosa,azulado
hobexa,seis,true,si,escamosa,azulado
wacka,cinco,true,si,suave,azulado
hobexa,cinco,false,si,escamosa,azulado
wurro,cinco,true,si,suave,rojizo
wacka,cuatro,false,no,escamosa,azulado
hobexa,cinco,true,si,escamosa,azulado
wurro,cinco,true,si,suave,rojizo
wurro,seis,true,si,suave,rojizo
wurro,cinco,true,si,suave,rojizo
wacka,cinco,false,si,escamosa,rojizo
wurro,cinco,true,si,suave,rojizo
wacka,cinco,false,si,suave,azulado
wacka,cuatro,false,no,suave,azulado
hobexa,cinco,false,si,escamosa,azulado
wurro,cinco,true,si,suave,rojizo
wacka,cuatro,false,no,escamosa,azulado
hobexa,cinco,false,si,escamosa,azulado
wacka,cinco,true,si,escamosa,azulado
hobexa,cinco,false,si,escamosa,azulado
hobexa,seis,true,si,escamosa,azulado
wacka,cinco,true,si,suave,rojizo
hobexa,cuatro,false,no,escamosa,azulado
hobexa,cuatro,false,no,escamosa,rojizo
wurro,cinco,true,si,suave,rojizo
wacka,cuatro,false,no,suave,azulado
wacka,cuatro,false,no,suave,azulado
wurro,cinco,true,si,suave,rojizo
wacka,cinco,false,si,suave,rojizo
wurro,seis,true,si,suave,rojizo
wacka,cinco,true,si,suave,azulado
wacka,cinco,true,si,escamosa,azulado
hobexa,seis,false,no,escamosa,rojizo
wacka,cuatro,false,no,suave,rojizo
wacka,cuatro,false,no,escamosa,azulado
wacka,cuatro,false,no,escamosa,azulado
hobexa,cuatro,false,no,escamosa,rojizo
hobexa,cuatro,true,si,escamosa,azulado
hobexa,cuatro,true,si,escamosa,azulado
wacka,cuatro,false,no,suave,azulado
hobexa,cuatro,false,no,escamosa,rojizo
hobexa,cuatro,false,no,escamosa,azulado
hobexa,cinco,false,si,escamosa,azulado
wacka,cinco,true,si,escamosa,azulado
wacka,cuatro,false,no,escamosa,azulado
wurro,seis,true,si,suave,rojizo
wurro,cinco,false,si,suave,rojizo
wurro,seis,true,si,suave,rojizo
hobexa,seis,false,no,escamosa,rojizo
wurro,seis,false,no,suave,rojizo
hobexa,cuatro,false,no,escamosa,azulado
wacka,cinco,false,si,suave,azulado
wurro,cinco,false,si,suave,rojizo
wurro,seis,true,si,suave,rojizo
wurro,cinco,true,si,suave,rojizo
wacka,cinco,false,si,suave,azulado
hobexa,cinco,true,si,escamosa,azulado
hobexa,cuatro,false,no,escamosa,azulado
wurro,cinco,true,si,suave,rojizo
wacka,cuatro,false,no,escamosa,azulado
wacka,cuatro,false,no,escamosa,rojizo
hobexa,cinco,false,si,escamosa,azulado
wacka,cinco,true,si,suave,azulado
hobexa,cuatro,false,no,escamosa,rojizo
wurro,seis,false,no,suave,rojizo
wacka,cuatro,false,no,suave,azulado
wacka,cuatro,true,si,escamosa,azulado
hobexa,cinco,false,si,escamosa,azulado
wacka,cinco,false,si,escamosa,azulado
wacka,cinco,true,si,suave,azulado
hobexa,cinco,false,si,escamosa,rojizo
wurro,cinco,false,si,suave,rojizo
wurro,cinco,false,si,suave,rojizo
wurro,cinco,true,si,suave,rojizo
hobexa,cuatro,false,no,escamosa,azulado
hobexa,cinco,true,si,escamosa,rojizo
wacka,cuatro,false,no,suave,rojizo
wurro,seis,false,no,suave,rojizo
wurro,seis,false,no,suave,rojizo
hobexa,cuatro,false,no,escamosa,rojizo
hobexa,cuatro,false,no,escamosa,azulado
wurro,seis,false,no,suave,rojizo
wurro,seis,false,no,suave,rojizo
hobexa,cinco,false,si,escamosa,azulado
hobexa,cuatro,false,no,escamosa,azulado
wacka,cinco,false,si,suave,azulado
wacka,cinco,false,si,suave,azulado
hobexa,cuatro,false,no,escamosa,azulado
wacka,cuatro,true,si,suave,azulado
hobexa,cinco,true,si,escamosa,rojizo
hobexa,cinco,false,si,escamosa,azulado
hobexa,cuatro,false,no,escamosa,rojizo
hobexa,seis,false,no,escamosa,rojizo
wurro,cinco,true,si,suave,rojizo
wurro,seis,false,no,suave,rojizo
wacka,cuatro,false,no,escamosa,azulado
hobexa,cinco,true,si,escamosa,azulado
wurro,seis,true,si,suave,rojizo
wurro,cinco,true,si,suave,rojizo
hobexa,cuatro,false,no,escamosa,rojizo
wacka,cuatro,false,no,suave,azulado
wurro,seis,false,no,suave,rojizo
wacka,cinco,true,si,suave,azulado
hobexa,cuatro,true,si,escamosa,rojizo
hobexa,seis,false,no,escamosa,rojizo
wurro,seis,false,no,suave,rojizo
wacka,cinco,false,si,suave,azulado
wacka,cinco,true,si,escamosa,azulado
hobexa,cinco,false,si,escamosa,rojizo
hobexa,cuatro,false,no,escamosa,azulado
hobexa,seis,false,no,escamosa,rojizo
wurro,cinco,false,si,suave,rojizo
wacka,cinco,false,si,escamosa,rojizo
hobexa,cinco,false,si,escamosa,azulado
wacka,cinco,true,si,suave,azulado
hobexa,cinco,false,si,escamosa,rojizo
hobexa,seis,true,si,escamosa,rojizo
hobexa,cinco,false,si,escamosa,azulado
wurro,seis,false,no,suave,rojizo
hobexa,cinco,false,si,escamosa,rojizo
wacka,cuatro,false,no,escamosa,azulado
wurro,cinco,true,si,suave,rojizo
hobexa,cuatro,false,no,escamosa,rojizo
wacka,cuatro,false,no,suave,rojizo
wurro,cinco,false,si,suave,rojizo
hobexa,seis,false,no,escamosa,azulado
wacka,cuatro,false,no,escamosa,azulado
wacka,cinco,true,si,suave,azulado
hobexa,seis,true,si,escamosa,rojizo
hobexa,seis,false,no,escamosa,azulado
wurro,seis,false,no,suave,rojizo
wacka,cuatro,false,no,suave,azulado
hobexa,cuatro,false,no,escamosa,rojizo
hobexa,cinco,false,si,escamosa,azulado
hobexa,seis,false,no,escamosa,azulado
hobexa,cinco,false,si,escamosa,rojizo
wacka,cuatro,false,no,escamosa,azulado
wacka,cinco,true,si,escamosa,azulado
wurro,seis,false,no,suave,rojizo
hobexa,cinco,true,si,escamosa,rojizo
hobexa,cinco,false,si,escamosa,azulado
wurro,cinco,true,si,suave,rojizo
hobexa,cinco,true,si,escamosa,azulado
wacka,cinco,false,si,escamosa,azulado
wurro,seis,true,si,suave,rojizo
hobexa,seis,true,si,escamosa,rojizo
wurro,cinco,true,si,suave,rojizo
wacka,cinco,true,si,suave,rojizo
wurro,cinco,true,si,suave,rojizo
wacka,cinco,true,si,escamosa,azulado
hobexa,cinco,false,si,escamosa,rojizo
wacka,cuatro,false,no,suave,azulado
wacka,cinco,false,si,escamosa,rojizo
wurro,seis,true,si,suave,rojizo
